time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
19.765658,-88.5109,29.6089,-6,8.03E-08,F:\Fish_GM\10-05\FL11278194513.png,16,1276,     0.073,     0.064,     1.136,     1.365
19.765103,-88.5121,29.61,-6.36,7.39E-08,F:\Fish_GM\10-05\FL11278194513.png,16,1216,     0.073,     0.065,     1.114,     1.366
19.765131,-88.5121,29.61,-5.76,8.24E-08,F:\Fish_GM\10-05\FL11278194513.png,16,1219,     0.074,     0.064,     1.162,     1.235
19.930007,-88.1478,29.3049,-4.92,5.92E-08,F:\Fish_GM\10-05\FL11278195513.png,25,1027,     0.049,     0.040,     1.232,     1.327
19.938173,-88.1305,29.2896,-3.85,6.22E-08,F:\Fish_GM\10-05\FL11278195513.png,25,1909,     0.044,     0.036,     1.217,     1.401
19.938627,-88.1293,29.2885,-5.16,4.93E-08,F:\Fish_GM\10-05\FL11278195513.png,25,1958,     0.046,     0.038,     1.208,     1.330
19.945274,-88.1146,29.2764,-6.36,5.51E-08,F:\Fish_GM\10-05\FL11278195620.png,26,676,     0.058,     0.050,     1.165,     1.219
19.945636,-88.1139,29.2759,-5.64,6.27E-08,F:\Fish_GM\10-05\FL11278195620.png,26,715,     0.053,     0.045,     1.165,     1.286
19.945848,-88.1139,29.2759,-5.64,7.47E-08,F:\Fish_GM\10-05\FL11278195620.png,26,738,     0.058,     0.044,     1.335,     1.591
19.946024,-88.1133,29.2754,-4.09,7.49E-08,F:\Fish_GM\10-05\FL11278195620.png,26,757,     0.053,     0.044,     1.213,     1.371
19.94733,-88.1102,29.273,-3.61,7.00E-08,F:\Fish_GM\10-05\FL11278195620.png,26,898,     0.044,     0.040,     1.108,     1.318
19.949209,-88.1064,29.27,-4.68,5.64E-08,F:\Fish_GM\10-05\FL11278195620.png,26,1101,     0.049,     0.040,     1.228,     1.346
19.968995,-88.1009,29.2153,-2.41,8.75E-08,F:\Fish_GM\10-05\FL11278195727.png,27,1238,     0.053,     0.039,     1.383,     1.583
19.972393,-88.1009,29.2059,-2.29,8.97E-08,F:\Fish_GM\10-05\FL11278195727.png,27,1605,     0.043,     0.032,     1.332,     1.621
19.976439,-88.1007,29.194,-4.21,6.56E-08,F:\Fish_GM\10-05\FL11278195833.png,28,42,     0.046,     0.037,     1.249,     1.388
19.98629,-88.1006,29.1656,-6.24,3.33E-08,F:\Fish_GM\10-05\FL11278195833.png,28,1106,     0.040,     0.035,     1.156,     1.242
19.986234,-88.1006,29.1656,-5.4,4.43E-08,F:\Fish_GM\10-05\FL11278195833.png,28,1100,     0.043,     0.037,     1.167,     1.246
19.990762,-88.1006,29.1538,-5.16,4.74E-08,F:\Fish_GM\10-05\FL11278195833.png,28,1589,     0.041,     0.032,     1.289,     1.516
19.994789,-88.1006,29.142,-5.52,4.23E-08,F:\Fish_GM\10-05\FL11278195940.png,29,24,     0.040,     0.032,     1.280,     1.472
