time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number,
0.89316917,-89.0757,29.9754,31.6639,0.7623,8.3853,6.95E-09,733,744,46,67,C:\raw data\GM11\09-26\FL11270005310.png,160,g
0.89330806,-89.0757,29.9754,8.6356,0.5445,8.3853,7.46E-09,752,755,41,67,C:\raw data\GM11\09-26\FL11270005310.png,160,g
0.89342861,-89.0757,29.9754,17.2712,0.6534,8.2764,6.59E-09,763,769,47,69,C:\raw data\GM11\09-26\FL11270005310.png,160,g
0.89443778,-89.0734,29.9729,14.3927,0.8712,8.4942,7.90E-09,873,878,41,69,C:\raw data\GM11\09-26\FL11270005310.png,160,g
0.89519694,-89.0723,29.9717,34.5424,0.5445,8.3853,2.19E-08,951,963,40,70,C:\raw data\GM11\09-26\FL11270005310.png,160,g
0.89942806,-89.0632,29.9618,25.9068,0.3267,8.2764,1.24E-08,1410,1419,41,67,C:\raw data\GM11\09-26\FL11270005310.png,160,g
0.90002056,-89.0621,29.9606,20.1497,0.1089,8.0586,1.06E-08,1475,1482,35,68,C:\raw data\GM11\09-26\FL11270005310.png,160,g
1.0200764,-88.8103,29.704,8.6271,6.9696,15.6816,4.63E-09,444,447,95,125,C:\raw data\GM11\09-26\FL11270010057.png,167,g
1.1177914,-88.605,29.4896,22.8646,29.6208,29.403,           -NaN,995,1003,282,330,C:\raw data\GM11\09-26\FL11270010630.png,172,g
1.5194369,-88.3484,29.2358,8.1695,7.2963,19.7109,6.40E-08,379,382,92,141,C:\raw data\GM11\09-26\FL11270013057.png,194,g
1.5635169,-88.3798,29.1232,14.0894,5.2272,24.3936,4.62E-08,1139,1144,68,118,C:\raw data\GM11\09-26\FL11270013310.png,196,g
2.870715,-88.5083,29.1668,35.9063,8.3853,23.7402,4.53E-08,323,335,57,137,C:\raw data\GM11\09-26\FL11270025203.png,267,g
3.4886222,-88.5823,29.0688,5.6305,3.8115,26.2449,5.55E-08,1067,1069,65,101,C:\raw data\GM11\09-26\FL11270032843.png,300,g
3.6709511,-88.5939,29.204,8.9232,6.534,27.9873,8.81E-09,760,763,90,117,C:\raw data\GM11\09-26\FL11270033950.png,310,g
