time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
       19.647895,    -88.8530,     29.4363,     -2.77,     1.891e-007,F:\Fish_GM\09-29\FL11272193757.png,  15,1643,     0.077,     0.063,     1.227,     1.412
       19.657089,    -88.8516,     29.4103,     -4.33,     1.303e-007,F:\Fish_GM\09-29\FL11272193904.png,  16, 636,     0.098,     0.073,     1.335,     1.488
       19.657098,    -88.8516,     29.4103,     -2.89,     2.135e-007,F:\Fish_GM\09-29\FL11272193904.png,  16, 637,     0.098,     0.066,     1.476,     1.319
       19.671763,    -88.8500,     29.3680,     -7.43,     5.976e-008,F:\Fish_GM\09-29\FL11272194010.png,  17, 221,     0.127,     0.099,     1.290,     1.445
       20.094584,    -88.6283,     29.8242,     -3.25,     2.123e-007,F:\Fish_GM\09-29\FL11272200432.png,  39,1889,     0.096,     0.075,     1.281,     1.383
       20.116878,    -88.6242,     29.7599,     -1.58,     3.185e-007,F:\Fish_GM\09-29\FL11272200645.png,  41, 297,     0.069,     0.049,     1.420,     1.283
       20.268506,    -88.6017,     29.7572,     -3.25,     2.337e-007,F:\Fish_GM\09-29\FL11272201538.png,  49, 674,     0.100,     0.069,     1.449,     1.671
       20.282005,    -88.6019,     29.7945,     -1.93,     3.616e-007,F:\Fish_GM\09-29\FL11272201645.png,  50, 132,     0.068,     0.043,     1.597,     1.934
       20.440502,    -88.5766,     29.6305,     -4.92,     1.740e-007,F:\Fish_GM\09-29\FL11272202538.png,  58,1251,     0.133,     0.106,     1.262,     1.513
       20.526394,    -88.5492,     29.7260,    -13.05,     9.767e-009,F:\Fish_GM\09-29\FL11272203112.png,  63, 528,     0.349,     0.250,     1.400,     1.526
       20.526810,    -88.5492,     29.7275,    -11.98,     1.266e-008,F:\Fish_GM\09-29\FL11272203112.png,  63, 573,     0.259,     0.195,     1.326,     1.560
       20.543411,    -88.5483,     29.7731,    -16.40,     8.588e-009,F:\Fish_GM\09-29\FL11272203218.png,  64, 366,     0.457,     0.230,     1.984,     2.316
       20.654504,    -88.5266,     29.7907,    -14.49,     8.586e-009,F:\Fish_GM\09-29\FL11272203858.png,  70, 365,     0.212,     0.158,     1.343,     1.394
       20.662846,    -88.5264,     29.7663,     -6.72,     7.828e-008,F:\Fish_GM\09-29\FL11272203858.png,  70,1266,     0.116,     0.089,     1.298,     1.424
       20.679697,    -88.5248,     29.7176,     -3.25,     2.318e-007,F:\Fish_GM\09-29\FL11272204005.png,  71,1086,     0.116,     0.087,     1.337,     1.232
       20.677105,    -88.5250,     29.7241,     -3.37,     3.300e-007,F:\Fish_GM\09-29\FL11272204005.png,  71, 806,     0.145,     0.090,     1.613,     1.814
       20.738304,    -88.5298,     29.5736,     -1.22,     1.464e-007,F:\Fish_GM\09-29\FL11272204325.png,  74,1416,     0.051,     0.042,     1.216,     1.369
       20.739211,    -88.5275,     29.5747,     -1.34,     1.386e-007,F:\Fish_GM\09-29\FL11272204325.png,  74,1514,     0.048,     0.041,     1.175,     1.321
       20.781680,    -88.4977,     29.6781,     -6.24,     8.288e-008,F:\Fish_GM\09-29\FL11272204645.png,  77, 101,     0.100,     0.073,     1.369,     1.618
       20.818576,    -88.5009,     29.7802,     -9.35,     3.869e-008,F:\Fish_GM\09-29\FL11272204858.png,  79,  86,     0.095,     0.068,     1.391,     1.642
       20.818187,    -88.5009,     29.7786,     -2.29,     1.350e-007,F:\Fish_GM\09-29\FL11272204858.png,  79,  44,     0.046,     0.037,     1.232,     1.437
       20.825390,    -88.5009,     29.7984,     -3.37,     1.053e-007,F:\Fish_GM\09-29\FL11272204858.png,  79, 822,     0.047,     0.042,     1.106,     1.264
       20.912272,    -88.4739,     29.8478,    -13.05,     1.429e-008,F:\Fish_GM\09-29\FL11272205432.png,  84, 206,     0.196,     0.166,     1.181,     1.488
       20.969194,    -88.4746,     29.6813,     -4.68,     1.527e-007,F:\Fish_GM\09-29\FL11272205752.png,  87, 354,     0.108,     0.058,     1.881,     1.932
       21.057826,    -88.4524,     29.7079,    -10.18,     3.806e-008,F:\Fish_GM\09-29\FL11272210218.png,  91,1927,     0.109,     0.071,     1.541,     2.077
       21.155319,    -88.4205,     29.9119,     -3.61,     1.353e-007,F:\Fish_GM\09-29\FL11272210858.png,  97, 457,     0.083,     0.065,     1.272,     1.520
       21.156606,    -88.4209,     29.9078,     -2.29,     2.451e-007,F:\Fish_GM\09-29\FL11272210858.png,  97, 596,     0.074,     0.060,     1.251,     1.502
       21.209231,    -88.4246,     29.7553,    -20.71,     2.399e-009,F:\Fish_GM\09-29\FL11272211218.png, 100, 280,     0.435,     0.246,     1.764,     2.083
       21.210555,    -88.4247,     29.7521,    -22.98,     1.193e-009,F:\Fish_GM\09-29\FL11272211218.png, 100, 423,     0.546,     0.205,     2.666,     2.087
       21.210639,    -88.4247,     29.7513,    -19.99,     4.824e-009,F:\Fish_GM\09-29\FL11272211218.png, 100, 432,     0.596,     0.270,     2.208,     3.022
       21.254885,    -88.4252,     29.6210,     -3.37,     1.373e-007,F:\Fish_GM\09-29\FL11272211432.png, 102,1211,     0.076,     0.064,     1.183,     1.416
       21.258987,    -88.4313,     29.6110,     -3.13,     1.205e-007,F:\Fish_GM\09-29\FL11272211432.png, 102,1654,     0.058,     0.048,     1.221,     1.278
       21.259061,    -88.4313,     29.6110,     -3.61,     8.921e-008,F:\Fish_GM\09-29\FL11272211432.png, 102,1662,     0.054,     0.047,     1.148,     1.205
       21.259098,    -88.4313,     29.6110,     -2.17,     1.487e-007,F:\Fish_GM\09-29\FL11272211432.png, 102,1666,     0.052,     0.044,     1.165,     1.281
       21.259293,    -88.4319,     29.6104,     -2.53,     1.432e-007,F:\Fish_GM\09-29\FL11272211432.png, 102,1687,     0.050,     0.044,     1.138,     1.334
       21.259329,    -88.4319,     29.6104,     -4.21,     8.498e-008,F:\Fish_GM\09-29\FL11272211432.png, 102,1691,     0.051,     0.046,     1.100,     1.293
       21.259413,    -88.4319,     29.6104,     -3.13,     1.214e-007,F:\Fish_GM\09-29\FL11272211432.png, 102,1700,     0.049,     0.046,     1.065,     1.345
