time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
19.72414,-88.8645,30.0866,-2.89,2.21E-07,F:\Fish_GM\09-24\FL11267194303.png,6,707,0.097,0.082,1.189,1.615
19.81168,-88.6004,30.0527,-6.6,3.63E-08,F:\Fish_GM\09-24\FL11267194836.png,11,162,0.083,0.055,1.491,1.629
19.817994,-88.5804,30.0517,-5.04,4.48E-08,F:\Fish_GM\09-24\FL11267194836.png,11,844,0.054,0.046,1.184,1.455
19.826049,-88.5558,30.0495,-2.05,1.97E-07,F:\Fish_GM\09-24\FL11267194836.png,11,1714,0.054,0.032,1.689,2.829
19.915061,-88.5011,29.8301,-2.41,1.39E-07,F:\Fish_GM\09-24\FL11267195410.png,16,1328,0.078,0.056,1.377,1.758
19.946707,-88.5013,29.7411,-3.97,6.25E-08,F:\Fish_GM\09-24\FL11267195623.png,18,746,0.051,0.04,1.258,1.562
19.948318,-88.5013,29.7372,-3.73,7.15E-08,F:\Fish_GM\09-24\FL11267195623.png,18,920,0.051,0.041,1.261,1.65
19.966937,-88.5014,29.6852,-4.92,7.58E-08,F:\Fish_GM\09-24\FL11267195730.png,19,931,0.072,0.057,1.256,1.539
19.966687,-88.5014,29.686,-5.76,5.87E-08,F:\Fish_GM\09-24\FL11267195730.png,19,904,0.068,0.058,1.17,1.41
19.96715,-88.5014,29.6845,-6.24,5.89E-08,F:\Fish_GM\09-24\FL11267195730.png,19,954,0.071,0.061,1.164,1.408
19.967974,-88.5014,29.6814,-4.09,1.17E-07,F:\Fish_GM\09-24\FL11267195730.png,19,1043,0.079,0.065,1.215,1.69
19.973242,-88.5016,29.6674,-5.88,1.49E-07,F:\Fish_GM\09-24\FL11267195730.png,19,1612,0.13,0.061,2.13,3.215
19.987982,-88.5016,29.6263,-4.92,6.25E-08,F:\Fish_GM\09-24\FL11267195836.png,20,1204,0.052,0.039,1.321,1.585
19.993213,-88.5017,29.6116,-5.88,4.52E-08,F:\Fish_GM\09-24\FL11267195836.png,20,1769,0.053,0.044,1.214,1.398
20.015831,-88.5021,29.5488,-3.61,6.76E-08,F:\Fish_GM\09-24\FL11267200050.png,22,212,0.055,0.031,1.766,1.779
20.01472,-88.5021,29.5511,-2.17,8.59E-08,F:\Fish_GM\09-24\FL11267200050.png,22,92,0.033,0.025,1.322,1.562
20.016239,-88.5021,29.5464,-1.1,7.87E-08,F:\Fish_GM\09-24\FL11267200050.png,22,256,0.036,0.022,1.619,1.724
20.017165,-88.5021,29.5441,-1.82,8.21E-08,F:\Fish_GM\09-24\FL11267200050.png,22,356,0.03,0.024,1.25,1.512
20.025229,-88.5022,29.5223,-4.09,5.67E-08,F:\Fish_GM\09-24\FL11267200050.png,22,1227,0.049,0.032,1.511,1.632
20.081095,-88.5012,29.3647,-11.86,2.33E-08,F:\Fish_GM\09-24\FL11267200410.png,25,1261,0.109,0.08,1.354,1.575
20.08116,-88.5012,29.3647,-10.9,1.67E-08,F:\Fish_GM\09-24\FL11267200410.png,25,1268,0.082,0.066,1.236,1.247
20.098807,-88.5011,29.3143,-1.7,9.56E-08,F:\Fish_GM\09-24\FL11267200516.png,26,1174,0.035,0.032,1.098,1.417
20.098946,-88.5011,29.3143,-1.7,9.45E-08,F:\Fish_GM\09-24\FL11267200516.png,26,1189,0.035,0.031,1.119,1.358
20.103658,-88.5011,29.3009,-1.82,1.27E-07,F:\Fish_GM\09-24\FL11267200516.png,26,1698,0.045,0.036,1.254,1.524
20.103473,-88.5011,29.3017,-2.05,9.34E-08,F:\Fish_GM\09-24\FL11267200516.png,26,1678,0.045,0.036,1.256,1.349
20.094853,-88.5011,29.326,-1.7,9.91E-08,F:\Fish_GM\09-24\FL11267200516.png,26,747,0.033,0.029,1.14,1.345
20.114731,-88.5012,29.2694,-5.16,3.78E-08,F:\Fish_GM\09-24\FL11267200623.png,27,894,0.044,0.039,1.141,1.221
20.131184,-88.5012,29.2228,-2.41,1.27E-07,F:\Fish_GM\09-24\FL11267200730.png,28,671,0.048,0.04,1.177,1.691
20.138581,-88.5012,29.2014,-3.73,7.00E-08,F:\Fish_GM\09-24\FL11267200730.png,28,1470,0.051,0.045,1.129,1.381
20.149321,-88.5012,29.1714,-1.82,1.30E-07,F:\Fish_GM\09-24\FL11267200836.png,29,630,0.049,0.039,1.276,1.498
20.149645,-88.5012,29.1706,-3.13,7.70E-08,F:\Fish_GM\09-24\FL11267200836.png,29,665,0.055,0.046,1.209,1.278
20.149701,-88.5012,29.1706,-4.92,5.39E-08,F:\Fish_GM\09-24\FL11267200836.png,29,671,0.067,0.059,1.124,1.312
20.149794,-88.5012,29.1698,-2.89,8.49E-08,F:\Fish_GM\09-24\FL11267200836.png,29,681,0.058,0.046,1.282,1.279
20.14996,-88.5012,29.1698,-1.46,1.61E-07,F:\Fish_GM\09-24\FL11267200836.png,29,699,0.047,0.038,1.228,1.448
20.195938,-88.5014,29.038,-3.13,1.63E-07,F:\Fish_GM\09-24\FL11267201050.png,31,1665,0.069,0.062,1.119,1.4
20.210317,-88.5015,28.9965,-6.6,2.90E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1218,0.047,0.041,1.145,1.355
20.210021,-88.5015,28.9973,-1.82,9.80E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1186,0.037,0.026,1.412,1.411
20.210215,-88.5015,28.9973,-1.93,8.47E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1207,0.033,0.027,1.242,1.461
20.21053,-88.5015,28.9965,-3.25,6.23E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1241,0.039,0.033,1.179,1.447
20.214844,-88.5016,28.983,-3.37,5.86E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1707,0.044,0.035,1.25,1.309
20.214909,-88.5016,28.983,-4.68,4.02E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1714,0.045,0.039,1.151,1.325
20.215659,-88.5016,28.9814,-2.89,6.52E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1795,0.037,0.033,1.107,1.323
20.213011,-88.5016,28.9885,-2.17,6.28E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1509,0.031,0.023,1.301,1.264
20.211733,-88.5016,28.9933,-1.7,9.38E-08,F:\Fish_GM\09-24\FL11267201156.png,32,1371,0.031,0.025,1.238,1.465
20.217983,-88.5016,28.9742,-2.29,8.66E-08,F:\Fish_GM\09-24\FL11267201303.png,33,46,0.043,0.035,1.246,1.384
20.218177,-88.5016,28.9742,-1.82,1.63E-07,F:\Fish_GM\09-24\FL11267201303.png,33,67,0.049,0.032,1.52,1.709
20.218233,-88.5016,28.9734,-3.25,6.72E-08,F:\Fish_GM\09-24\FL11267201303.png,33,73,0.048,0.039,1.226,1.309
20.222075,-88.5016,28.9631,-3.37,6.15E-08,F:\Fish_GM\09-24\FL11267201303.png,33,488,0.051,0.039,1.304,1.367
20.223251,-88.5016,28.9599,-5.52,3.91E-08,F:\Fish_GM\09-24\FL11267201303.png,33,615,0.054,0.043,1.259,1.459
20.223945,-88.5016,28.9583,-2.53,7.14E-08,F:\Fish_GM\09-24\FL11267201303.png,33,690,0.041,0.034,1.237,1.315
20.223992,-88.5016,28.9567,-1.46,1.06E-07,F:\Fish_GM\09-24\FL11267201303.png,33,695,0.036,0.03,1.189,1.383
20.224084,-88.5016,28.9567,-2.17,8.87E-08,F:\Fish_GM\09-24\FL11267201303.png,33,705,0.037,0.03,1.234,1.444
20.22414,-88.5016,28.9567,-3.37,6.27E-08,F:\Fish_GM\09-24\FL11267201303.png,33,711,0.04,0.036,1.097,1.37
20.224381,-88.5016,28.9559,-2.65,8.63E-08,F:\Fish_GM\09-24\FL11267201303.png,33,737,0.048,0.035,1.364,1.438
20.224464,-88.5016,28.9559,-4.09,5.28E-08,F:\Fish_GM\09-24\FL11267201303.png,33,746,0.05,0.04,1.259,1.212
20.224621,-88.5016,28.9551,-3.37,6.46E-08,F:\Fish_GM\09-24\FL11267201303.png,33,763,0.041,0.037,1.131,1.418
20.225001,-88.5016,28.9543,-2.29,8.51E-08,F:\Fish_GM\09-24\FL11267201303.png,33,804,0.037,0.032,1.149,1.392
20.225482,-88.5016,28.9535,-2.53,1.04E-07,F:\Fish_GM\09-24\FL11267201303.png,33,856,0.055,0.041,1.363,1.459
20.225797,-88.5016,28.9527,-1.46,1.13E-07,F:\Fish_GM\09-24\FL11267201303.png,33,890,0.036,0.029,1.249,1.299
20.226038,-88.5016,28.9519,-1.93,9.31E-08,F:\Fish_GM\09-24\FL11267201303.png,33,916,0.043,0.03,1.458,1.236
20.226177,-88.5016,28.9511,-2.89,7.46E-08,F:\Fish_GM\09-24\FL11267201303.png,33,931,0.042,0.036,1.196,1.321
20.226529,-88.5016,28.9503,-1.93,1.06E-07,F:\Fish_GM\09-24\FL11267201303.png,33,969,0.038,0.033,1.162,1.35
20.227778,-88.5017,28.9463,-1.82,1.16E-07,F:\Fish_GM\09-24\FL11267201303.png,33,1104,0.046,0.033,1.401,1.507
20.242564,-88.5015,28.9038,-2.17,8.96E-08,F:\Fish_GM\09-24\FL11267201410.png,34,701,0.035,0.028,1.215,1.529
20.242768,-88.5015,28.903,-1.58,1.18E-07,F:\Fish_GM\09-24\FL11267201410.png,34,723,0.035,0.027,1.293,1.485
20.241638,-88.5015,28.907,-2.05,1.12E-07,F:\Fish_GM\09-24\FL11267201410.png,34,601,0.035,0.027,1.306,1.637
