time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
19.69604,-88.1286,29.1827,-1.58,1.87E-07,F:\Fish_GM\10-03\FL11276194058.png,24,1394,0.061,0.041,1.483,1.311
19.696068,-88.1286,29.1827,-3.61,1.10E-07,F:\Fish_GM\10-03\FL11276194058.png,24,1397,0.063,0.055,1.164,1.324
19.688106,-88.1464,29.1987,-8.51,4.76E-08,F:\Fish_GM\10-03\FL11276194058.png,24,537,0.074,0.061,1.209,1.376
19.687986,-88.1464,29.1987,-3.01,1.37E-07,F:\Fish_GM\10-03\FL11276194058.png,24,524,0.06,0.046,1.286,1.443
19.687958,-88.1464,29.1987,-9.11,3.84E-08,F:\Fish_GM\10-03\FL11276194058.png,24,521,0.064,0.057,1.137,1.373
19.687634,-88.1471,29.1993,-4.8,7.60E-08,F:\Fish_GM\10-03\FL11276194058.png,24,486,0.054,0.047,1.154,1.242
19.707123,-88.1023,29.1613,-4.09,8.74E-08,F:\Fish_GM\10-03\FL11276194205.png,25,591,0.062,0.055,1.141,1.256
19.707234,-88.1016,29.1607,-3.73,1.49E-07,F:\Fish_GM\10-03\FL11276194205.png,25,603,0.086,0.057,1.493,1.661
19.70728,-88.1016,29.1607,-8.15,4.73E-08,F:\Fish_GM\10-03\FL11276194205.png,25,608,0.072,0.063,1.155,1.302
19.707345,-88.1016,29.1607,-6,1.03E-07,F:\Fish_GM\10-03\FL11276194205.png,25,615,0.086,0.066,1.293,1.625
19.707539,-88.101,29.1602,-4.8,1.01E-07,F:\Fish_GM\10-03\FL11276194205.png,25,636,0.069,0.056,1.234,1.366
19.707678,-88.101,29.1602,-2.89,1.33E-07,F:\Fish_GM\10-03\FL11276194205.png,25,651,0.064,0.055,1.174,1.384
19.707817,-88.1003,29.1596,-4.33,1.22E-07,F:\Fish_GM\10-03\FL11276194205.png,25,666,0.071,0.055,1.3,1.45
19.707382,-88.1016,29.1607,-4.68,8.87E-08,F:\Fish_GM\10-03\FL11276194205.png,25,619,0.065,0.058,1.127,1.215
19.707419,-88.1016,29.1607,-5.28,7.95E-08,F:\Fish_GM\10-03\FL11276194205.png,25,623,0.062,0.055,1.127,1.246
19.707466,-88.101,29.1602,-4.09,1.00E-07,F:\Fish_GM\10-03\FL11276194205.png,25,628,0.059,0.053,1.114,1.255
19.775062,-87.9832,29.0109,-3.37,9.86E-08,F:\Fish_GM\10-03\FL11276194525.png,28,1929,0.055,0.05,1.088,1.259
19.775146,-87.9832,29.0109,-3.85,9.25E-08,F:\Fish_GM\10-03\FL11276194525.png,28,1938,0.058,0.048,1.201,1.32
19.81343,-87.984,28.8986,-3.13,1.26E-07,F:\Fish_GM\10-03\FL11276194845.png,31,73,0.07,0.057,1.23,1.303
19.813809,-87.984,28.8969,-5.64,7.62E-08,F:\Fish_GM\10-03\FL11276194845.png,31,114,0.062,0.055,1.135,1.255
19.819207,-87.9833,28.8814,-4.45,1.23E-07,F:\Fish_GM\10-03\FL11276194845.png,31,697,0.069,0.06,1.137,1.385
19.820346,-87.9832,28.8781,-6.24,8.93E-08,F:\Fish_GM\10-03\FL11276194845.png,31,820,0.073,0.068,1.085,1.332
19.82104,-87.9832,28.8764,-4.8,1.25E-07,F:\Fish_GM\10-03\FL11276194845.png,31,895,0.081,0.068,1.179,1.302
19.91083,-88.0105,28.7771,-4.92,1.03E-07,F:\Fish_GM\10-03\FL11276195418.png,36,593,0.074,0.059,1.247,1.478
19.915589,-88.0101,28.7903,-3.73,1.20E-07,F:\Fish_GM\10-03\FL11276195418.png,36,1107,0.066,0.056,1.197,1.351
