time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
       19.736544,    -88.8498,     29.4310,     -6.84,     3.632e-008,F:\Fish_GM\09-25\FL11268194409.png,  17,  75,     0.145,     0.097,     1.490,     1.884
       19.736730,    -88.8498,     29.4303,     -3.01,     1.497e-007,F:\Fish_GM\09-25\FL11268194409.png,  17,  95,     0.091,     0.067,     1.345,     1.266
       19.736711,    -88.8498,     29.4303,     -6.60,     2.573e-008,F:\Fish_GM\09-25\FL11268194409.png,  17,  93,     0.093,     0.087,     1.077,     1.388
       19.786319,    -88.8517,     29.2943,     -3.85,     3.167e-007,F:\Fish_GM\09-25\FL11268194622.png,  19,1451,     0.250,     0.110,     2.271,     3.395
       19.801836,    -88.8523,     29.2516,     -2.77,     1.641e-007,F:\Fish_GM\09-25\FL11268194729.png,  20,1127,     0.133,     0.072,     1.840,     2.308
       19.945205,    -89.0012,     28.8906,     -1.58,     2.315e-007,F:\Fish_GM\09-25\FL11268195622.png,  28, 612,     0.064,     0.044,     1.456,     1.491
       20.136051,    -89.0018,     28.3517,     -4.21,     4.656e-008,F:\Fish_GM\09-25\FL11268200729.png,  38,1225,     0.042,     0.037,     1.118,     1.201
       20.136228,    -89.0018,     28.3517,     -5.04,     3.827e-008,F:\Fish_GM\09-25\FL11268200729.png,  38,1244,     0.043,     0.039,     1.121,     1.298
       20.136496,    -89.0018,     28.3508,     -5.16,     4.196e-008,F:\Fish_GM\09-25\FL11268200729.png,  38,1273,     0.048,     0.040,     1.204,     1.262
       20.137172,    -89.0018,     28.3484,     -7.20,     3.162e-008,F:\Fish_GM\09-25\FL11268200729.png,  38,1346,     0.048,     0.041,     1.166,     1.257
       20.137301,    -89.0018,     28.3484,     -3.97,     5.545e-008,F:\Fish_GM\09-25\FL11268200729.png,  38,1360,     0.044,     0.037,     1.188,     1.327
       20.137394,    -89.0018,     28.3484,     -6.00,     3.314e-008,F:\Fish_GM\09-25\FL11268200729.png,  38,1370,     0.045,     0.040,     1.126,     1.255
       20.153069,    -89.0018,     28.3026,     -3.97,     7.326e-008,F:\Fish_GM\09-25\FL11268200835.png,  39,1063,     0.055,     0.050,     1.100,     1.306
       20.307094,    -89.1659,     28.0041,     -5.40,     5.724e-008,F:\Fish_GM\09-25\FL11268201729.png,  47,1699,     0.041,     0.034,     1.200,     1.341
       20.330222,    -89.2375,     28.0096,    -12.34,     1.329e-008,F:\Fish_GM\09-25\FL11268201942.png,  49, 197,     0.043,     0.037,     1.170,     1.262
       20.330296,    -89.2383,     28.0095,    -12.46,     1.400e-008,F:\Fish_GM\09-25\FL11268201942.png,  49, 205,     0.042,     0.037,     1.151,     1.234
       20.330879,    -89.2401,     28.0094,     -7.43,     2.789e-008,F:\Fish_GM\09-25\FL11268201942.png,  49, 268,     0.043,     0.034,     1.257,     1.262
       20.375154,    -89.3794,     28.0035,     -3.01,     1.172e-007,F:\Fish_GM\09-25\FL11268202155.png,  51,1050,     0.053,     0.034,     1.555,     1.686
       20.556233,    -89.4984,     28.4119,     -4.21,     9.311e-008,F:\Fish_GM\09-25\FL11268203302.png,  61, 608,     0.045,     0.035,     1.293,     1.789
       20.579416,    -89.4986,     28.4784,     -5.52,     5.862e-008,F:\Fish_GM\09-25\FL11268203409.png,  62,1112,     0.036,     0.030,     1.190,     1.238
       20.590203,    -89.4986,     28.5086,     -2.17,     1.055e-007,F:\Fish_GM\09-25\FL11268203515.png,  63, 277,     0.035,     0.030,     1.155,     1.249
       20.590341,    -89.4986,     28.5094,     -3.97,     6.872e-008,F:\Fish_GM\09-25\FL11268203515.png,  63, 292,     0.038,     0.032,     1.170,     1.312
       20.590869,    -89.4986,     28.5102,     -4.45,     6.921e-008,F:\Fish_GM\09-25\FL11268203515.png,  63, 349,     0.035,     0.031,     1.130,     1.307
       20.590934,    -89.4986,     28.5110,     -3.01,     7.244e-008,F:\Fish_GM\09-25\FL11268203515.png,  63, 356,     0.035,     0.029,     1.202,     1.220
       20.597591,    -89.4986,     28.5301,     -4.33,     7.467e-008,F:\Fish_GM\09-25\FL11268203515.png,  63,1075,     0.042,     0.036,     1.149,     1.322
       20.651531,    -89.4986,     28.6845,     -4.45,     4.625e-008,F:\Fish_GM\09-25\FL11268203835.png,  66, 901,     0.041,     0.034,     1.200,     1.281
       20.645985,    -89.4988,     28.6686,     -2.65,     6.251e-008,F:\Fish_GM\09-25\FL11268203835.png,  66, 302,     0.030,     0.027,     1.088,     1.344
       20.691010,    -89.5103,     28.7964,     -5.64,     3.278e-008,F:\Fish_GM\09-25\FL11268204049.png,  68,1165,     0.251,     0.233,     1.076,     1.418
       20.756912,    -89.5845,     28.9670,     -2.05,     5.247e-007,F:\Fish_GM\09-25\FL11268204515.png,  72, 283,     0.209,     0.161,     1.293,     1.845
