time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number
       1.3042975,   90.5011,   28.9012,   44.0110,    3.0492,   23.0868,    2.7901E-008, 133, 149,  64, 127,C:\raw data\GM11\09-25\FL11269011811.png, 127
       2.1172272,   89.9948,   28.9890,   45.4900,    1.4157,   15.4638,    5.2119E-008,1937,1952,  48, 113,C:\raw data\GM11\09-25\FL11269020558.png, 170
       2.1178936,   89.9937,   28.9903,   22.6620,    1.3068,   15.4638,    2.0151E-008,  12,  20,  48, 106,C:\raw data\GM11\09-25\FL11269020704.png, 171
       2.1255969,   89.9712,   28.9962,   28.3276,    0.7623,   15.2460,    6.8124E-008, 843, 853,  52, 104,C:\raw data\GM11\09-25\FL11269020704.png, 171
       2.1258192,   89.9695,   28.9960,   42.4913,    1.0890,   15.2460,    4.8860E-008, 865, 880,  51, 108,C:\raw data\GM11\09-25\FL11269020704.png, 171
