time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
       19.483945,    -88.7662,     30.0751,     -2.89,     4.290e-007,F:\Fish_GM\10-02\FL11275192829.png,   8, 968,     0.141,     0.125,     1.132,     1.242
       19.570670,    -88.6741,     29.9230,     -3.25,     2.779e-007,F:\Fish_GM\10-02\FL11275193402.png,  13, 335,     0.094,     0.081,     1.153,     1.263
       19.570772,    -88.6741,     29.9230,     -3.61,     2.755e-007,F:\Fish_GM\10-02\FL11275193402.png,  13, 346,     0.111,     0.096,     1.148,     1.270
       19.591391,    -88.6678,     29.9774,     -1.93,     3.288e-007,F:\Fish_GM\10-02\FL11275193509.png,  14, 573,     0.081,     0.063,     1.293,     1.281
       19.591835,    -88.6671,     29.9788,     -4.45,     2.063e-007,F:\Fish_GM\10-02\FL11275193509.png,  14, 621,     0.108,     0.100,     1.080,     1.273
       19.605121,    -88.6388,     30.0009,     -2.05,     2.625e-007,F:\Fish_GM\10-02\FL11275193615.png,  15,  56,     0.083,     0.067,     1.239,     1.389
       19.653229,    -88.5365,     29.9453,     -2.65,     3.310e-007,F:\Fish_GM\10-02\FL11275193829.png,  17,1252,     0.122,     0.092,     1.331,     1.521
       19.696818,    -88.5720,     29.8258,     -3.61,     2.533e-007,F:\Fish_GM\10-02\FL11275194042.png,  19,1960,     0.110,     0.098,     1.120,     1.487
       19.708780,    -88.5810,     29.7917,    -10.42,     4.228e-008,F:\Fish_GM\10-02\FL11275194149.png,  20,1252,     0.164,     0.129,     1.276,     1.351
       19.708817,    -88.5810,     29.7917,    -11.38,     3.479e-008,F:\Fish_GM\10-02\FL11275194149.png,  20,1256,     0.169,     0.152,     1.106,     1.329
       19.709567,    -88.5819,     29.7903,     -9.35,     5.225e-008,F:\Fish_GM\10-02\FL11275194149.png,  20,1337,     0.133,     0.119,     1.115,     1.326
       19.709595,    -88.5819,     29.7903,    -12.34,     2.304e-008,F:\Fish_GM\10-02\FL11275194149.png,  20,1340,     0.180,     0.140,     1.278,     1.575
       19.827799,    -88.4964,     29.6105,     -2.17,     1.786e-007,F:\Fish_GM\10-02\FL11275194935.png,  27, 107,     0.056,     0.047,     1.205,     1.313
       19.827864,    -88.4964,     29.6105,     -2.89,     1.536e-007,F:\Fish_GM\10-02\FL11275194935.png,  27, 114,     0.070,     0.052,     1.355,     1.266
       19.850649,    -88.4240,     29.6073,     -3.85,     1.135e-007,F:\Fish_GM\10-02\FL11275195042.png,  28, 575,     0.059,     0.048,     1.237,     1.278
       19.851020,    -88.4231,     29.6072,     -3.01,     1.287e-007,F:\Fish_GM\10-02\FL11275195042.png,  28, 615,     0.055,     0.047,     1.177,     1.277
       19.858454,    -88.3993,     29.6064,     -5.88,     7.318e-008,F:\Fish_GM\10-02\FL11275195042.png,  28,1418,     0.058,     0.046,     1.259,     1.340
       19.860232,    -88.3941,     29.6063,     -7.67,     4.332e-008,F:\Fish_GM\10-02\FL11275195042.png,  28,1610,     0.054,     0.050,     1.071,     1.305
       19.860806,    -88.3923,     29.6063,     -7.43,     5.064e-008,F:\Fish_GM\10-02\FL11275195042.png,  28,1672,     0.058,     0.051,     1.135,     1.376
       19.864389,    -88.3801,     29.6063,     -8.15,     3.818e-008,F:\Fish_GM\10-02\FL11275195149.png,  29,  59,     0.060,     0.053,     1.130,     1.318
       19.864546,    -88.3801,     29.6063,     -5.28,     5.997e-008,F:\Fish_GM\10-02\FL11275195149.png,  29,  76,     0.055,     0.048,     1.152,     1.253
       19.865111,    -88.3784,     29.6065,     -8.03,     3.348e-008,F:\Fish_GM\10-02\FL11275195149.png,  29, 137,     0.057,     0.052,     1.093,     1.230
       19.865194,    -88.3775,     29.6066,     -6.36,     4.922e-008,F:\Fish_GM\10-02\FL11275195149.png,  29, 146,     0.056,     0.051,     1.081,     1.266
       19.866333,    -88.3751,     29.6073,     -3.73,     8.692e-008,F:\Fish_GM\10-02\FL11275195149.png,  29, 269,     0.054,     0.046,     1.161,     1.290
       19.867324,    -88.3727,     29.6082,     -2.77,     1.034e-007,F:\Fish_GM\10-02\FL11275195149.png,  29, 376,     0.047,     0.041,     1.158,     1.378
       19.868166,    -88.3699,     29.6099,     -1.58,     1.296e-007,F:\Fish_GM\10-02\FL11275195149.png,  29, 467,     0.047,     0.038,     1.244,     1.242
       19.872009,    -88.3616,     29.6171,     -6.36,     6.197e-008,F:\Fish_GM\10-02\FL11275195149.png,  29, 882,     0.063,     0.055,     1.136,     1.294
       19.882712,    -88.3448,     29.6418,     -4.09,     1.303e-007,F:\Fish_GM\10-02\FL11275195255.png,  30,  38,     0.064,     0.057,     1.130,     1.286
       19.882767,    -88.3448,     29.6418,     -2.17,     2.454e-007,F:\Fish_GM\10-02\FL11275195255.png,  30,  44,     0.072,     0.060,     1.194,     1.376
       19.884332,    -88.3428,     29.6451,     -4.68,     1.258e-007,F:\Fish_GM\10-02\FL11275195255.png,  30, 213,     0.067,     0.057,     1.183,     1.380
       19.885424,    -88.3411,     29.6476,     -2.53,     2.158e-007,F:\Fish_GM\10-02\FL11275195255.png,  30, 331,     0.075,     0.055,     1.355,     1.552
       19.885424,    -88.3411,     29.6476,     -6.24,     8.495e-008,F:\Fish_GM\10-02\FL11275195255.png,  30, 331,     0.072,     0.061,     1.177,     1.283
       19.886156,    -88.3399,     29.6496,     -8.87,     4.694e-008,F:\Fish_GM\10-02\FL11275195255.png,  30, 410,     0.071,     0.063,     1.123,     1.330
       19.905590,    -88.3087,     29.6947,     -1.95,     2.120e-007,F:\Fish_GM\10-02\FL11275195402.png,  31, 509,     0.067,     0.055,     1.213,     1.258
       19.906423,    -88.3078,     29.6960,     -1.59,     2.569e-007,F:\Fish_GM\10-02\FL11275195402.png,  31, 599,     0.057,     0.038,     1.496,     1.207
       19.907432,    -88.3055,     29.6993,     -1.83,     2.611e-007,F:\Fish_GM\10-02\FL11275195402.png,  31, 708,     0.064,     0.056,     1.156,     1.287
       19.920783,    -88.2842,     29.7297,    -22.02,     3.216e-009,F:\Fish_GM\10-02\FL11275195509.png,  32, 150,     0.427,     0.181,     2.365,     2.009
       19.920940,    -88.2838,     29.7303,    -20.95,     2.339e-009,F:\Fish_GM\10-02\FL11275195509.png,  32, 167,     0.212,     0.137,     1.546,     1.624
       19.944568,    -88.2448,     29.7841,     -4.92,     1.048e-007,F:\Fish_GM\10-02\FL11275195615.png,  33, 719,     0.071,     0.050,     1.430,     1.515
       19.947151,    -88.2404,     29.7904,     -2.65,     1.466e-007,F:\Fish_GM\10-02\FL11275195615.png,  33, 998,     0.054,     0.042,     1.266,     1.371
       19.953031,    -88.2311,     29.8037,    -13.41,     3.852e-008,F:\Fish_GM\10-02\FL11275195615.png,  33,1633,     0.170,     0.088,     1.921,     2.465
       19.951549,    -88.2337,     29.7999,     -1.58,     2.036e-007,F:\Fish_GM\10-02\FL11275195615.png,  33,1473,     0.048,     0.028,     1.724,     1.673
       19.955040,    -88.2279,     29.8081,     -2.53,     1.343e-007,F:\Fish_GM\10-02\FL11275195615.png,  33,1850,     0.047,     0.040,     1.165,     1.353
       19.956808,    -88.2252,     29.8120,     -9.11,     2.485e-007,F:\Fish_GM\10-02\FL11275195722.png,  34,  41,     0.285,     0.099,     2.875,     3.628
       19.957012,    -88.2248,     29.8126,     -3.61,     1.592e-007,F:\Fish_GM\10-02\FL11275195722.png,  34,  63,     0.075,     0.059,     1.284,     1.356
       19.957206,    -88.2243,     29.8132,     -5.28,     1.062e-007,F:\Fish_GM\10-02\FL11275195722.png,  34,  84,     0.066,     0.060,     1.115,     1.364
       19.957586,    -88.2239,     29.8139,     -4.33,     1.202e-007,F:\Fish_GM\10-02\FL11275195722.png,  34, 125,     0.070,     0.055,     1.283,     1.347
       19.961993,    -88.2172,     29.8233,     -8.03,     5.080e-008,F:\Fish_GM\10-02\FL11275195722.png,  34, 601,     0.070,     0.060,     1.171,     1.347
       19.963141,    -88.2150,     29.8264,     -9.95,     3.690e-008,F:\Fish_GM\10-02\FL11275195722.png,  34, 725,     0.073,     0.059,     1.238,     1.443
       19.963983,    -88.2136,     29.8283,     -6.36,     6.738e-008,F:\Fish_GM\10-02\FL11275195722.png,  34, 816,     0.064,     0.058,     1.110,     1.294
