time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number,,
19.327124,-89.1921,30.2666,17897.1621,-1.089,6.0984,6.96E-09,202,206,36,65,C:\raw data\GM11\10-02\FL11275191600.png,0,,1
21.510525,-89.9525,28.6389,22.9355,12.3057,29.5119,6.86E-08,1850,1858,141,173,C:\raw data\GM11\10-02\FL11275212935.png,117,,1
21.870526,-89.3655,28.8017,10.5777,19.0575,29.403,3.79E-07,735,739,205,240,C:\raw data\GM11\10-02\FL11275215149.png,137,,1
22.456361,-88.4059,29.9311,17.2187,25.5915,29.5119,5.37E-07,9,15,264,310,C:\raw data\GM11\10-02\FL11275222722.png,169,,1
22.510681,-88.3201,30.071,11.5685,2.3958,23.6313,1.13E-08,1877,1881,47,103,C:\raw data\GM11\10-02\FL11275222935.png,171,,1
