time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
       19.511026,    -88.6927,     29.5779,     -4.33,     1.427e-007,F:\Fish_GM\09-26\FL11269193035.png,  14, 123,     0.110,     0.085,     1.292,     1.458
       19.577484,    -88.5432,     29.4230,     -7.55,     2.463e-008,F:\Fish_GM\09-26\FL11269193355.png,  17,1301,     0.040,     0.033,     1.215,     1.337
       19.582558,    -88.5318,     29.4112,     -9.11,     1.635e-008,F:\Fish_GM\09-26\FL11269193355.png,  17,1849,     0.038,     0.032,     1.176,     1.369
       19.584280,    -88.5280,     29.4073,     -6.12,     2.990e-008,F:\Fish_GM\09-26\FL11269193501.png,  18,  35,     0.037,     0.028,     1.316,     1.411
       19.596899,    -88.4992,     29.3784,     -5.52,     3.514e-008,F:\Fish_GM\09-26\FL11269193501.png,  18,1398,     0.037,     0.031,     1.196,     1.355
       19.597001,    -88.4992,     29.3784,     -4.80,     4.472e-008,F:\Fish_GM\09-26\FL11269193501.png,  18,1409,     0.041,     0.032,     1.294,     1.466
       19.597168,    -88.4986,     29.3778,     -2.89,     8.075e-008,F:\Fish_GM\09-26\FL11269193501.png,  18,1427,     0.042,     0.031,     1.332,     1.497
       19.615990,    -88.4555,     29.3329,     -8.15,     2.365e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1460,     0.049,     0.040,     1.230,     1.421
       19.616018,    -88.4555,     29.3329,     -8.15,     2.083e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1463,     0.049,     0.041,     1.204,     1.376
       19.616064,    -88.4555,     29.3329,     -7.55,     2.432e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1468,     0.048,     0.039,     1.241,     1.399
       19.616194,    -88.4555,     29.3329,     -6.96,     3.057e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1482,     0.043,     0.040,     1.078,     1.425
       19.616213,    -88.4555,     29.3329,     -6.12,     3.731e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1484,     0.043,     0.038,     1.109,     1.320
       19.616268,    -88.4555,     29.3329,     -6.12,     3.138e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1490,     0.047,     0.037,     1.283,     1.257
       19.616935,    -88.4537,     29.3309,     -8.27,     2.100e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1562,     0.048,     0.039,     1.232,     1.418
       19.617638,    -88.4525,     29.3297,     -7.32,     2.684e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1638,     0.051,     0.041,     1.246,     1.446
       19.617240,    -88.4531,     29.3303,     -7.20,     2.597e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1595,     0.046,     0.037,     1.216,     1.348
       19.617213,    -88.4531,     29.3303,     -4.09,     5.146e-008,F:\Fish_GM\09-26\FL11269193608.png,  19,1592,     0.038,     0.030,     1.263,     1.281
       19.636220,    -88.4084,     29.2883,    -10.78,     8.106e-009,F:\Fish_GM\09-26\FL11269193715.png,  20,1645,     0.048,     0.043,     1.114,     1.294
       19.636313,    -88.4084,     29.2883,     -7.20,     2.558e-008,F:\Fish_GM\09-26\FL11269193715.png,  20,1655,     0.046,     0.035,     1.318,     1.545
       19.636729,    -88.4076,     29.2878,     -5.76,     3.402e-008,F:\Fish_GM\09-26\FL11269193715.png,  20,1700,     0.042,     0.035,     1.217,     1.407
       19.636859,    -88.4069,     29.2873,     -5.40,     3.804e-008,F:\Fish_GM\09-26\FL11269193715.png,  20,1714,     0.042,     0.034,     1.231,     1.563
       19.637063,    -88.4053,     29.2862,     -5.52,     3.778e-008,F:\Fish_GM\09-26\FL11269193715.png,  20,1736,     0.043,     0.034,     1.263,     1.530
       19.637118,    -88.4053,     29.2862,     -3.85,     5.227e-008,F:\Fish_GM\09-26\FL11269193715.png,  20,1742,     0.036,     0.034,     1.079,     1.207
