time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
       19.033984,    -88.5024,     29.7243,     -3.37,     2.919e-007,F:\Fish_GM\10-07\FL11280190134.png,  19, 759,     0.120,     0.096,     1.248,     1.421
       19.341952,    -88.5020,     28.8226,     -3.37,     9.306e-008,F:\Fish_GM\10-07\FL11280192027.png,  36,  22,     0.054,     0.027,     1.947,     2.161
       19.423409,    -88.5016,     28.5829,     -6.60,     3.323e-008,F:\Fish_GM\10-07\FL11280192454.png,  40, 820,     0.037,     0.030,     1.244,     1.497
       19.423187,    -88.5016,     28.5837,    -13.05,     1.194e-008,F:\Fish_GM\10-07\FL11280192454.png,  40, 796,     0.045,     0.038,     1.204,     1.435
       19.444759,    -88.5022,     28.5197,     -5.28,     4.465e-008,F:\Fish_GM\10-07\FL11280192600.png,  41,1126,     0.041,     0.028,     1.489,     1.831
       19.482599,    -88.5026,     28.4077,     -6.72,     3.462e-008,F:\Fish_GM\10-07\FL11280192814.png,  43,1213,     0.043,     0.034,     1.278,     1.432
       19.482645,    -88.5026,     28.4077,     -3.61,     4.632e-008,F:\Fish_GM\10-07\FL11280192814.png,  43,1218,     0.035,     0.028,     1.241,     1.372
       19.482710,    -88.5026,     28.4077,     -4.09,     4.921e-008,F:\Fish_GM\10-07\FL11280192814.png,  43,1225,     0.039,     0.030,     1.325,     1.626
       19.482766,    -88.5026,     28.4077,     -5.28,     3.376e-008,F:\Fish_GM\10-07\FL11280192814.png,  43,1231,     0.036,     0.030,     1.189,     1.253
       19.483821,    -88.5026,     28.4036,     -5.88,     4.532e-008,F:\Fish_GM\10-07\FL11280192814.png,  43,1345,     0.047,     0.033,     1.444,     1.664
       19.487460,    -88.5026,     28.3928,     -7.20,     3.280e-008,F:\Fish_GM\10-07\FL11280192814.png,  43,1738,     0.045,     0.031,     1.424,     1.451
       19.492209,    -88.5025,     28.3788,     -5.40,     3.992e-008,F:\Fish_GM\10-07\FL11280192920.png,  44, 251,     0.039,     0.028,     1.428,     1.661
       19.490413,    -88.5025,     28.3846,     -4.92,     3.013e-008,F:\Fish_GM\10-07\FL11280192920.png,  44,  57,     0.034,     0.027,     1.266,     1.312
       19.490274,    -88.5025,     28.3846,     -3.85,     3.984e-008,F:\Fish_GM\10-07\FL11280192920.png,  44,  42,     0.033,     0.026,     1.292,     1.424
       19.576527,    -88.5016,     28.1308,     -5.28,     3.182e-008,F:\Fish_GM\10-07\FL11280193347.png,  48,1358,     0.033,     0.025,     1.313,     1.472
       19.590350,    -88.5011,     28.0901,     -7.67,     2.907e-008,F:\Fish_GM\10-07\FL11280193453.png,  49, 851,     0.044,     0.029,     1.519,     1.724
       19.991218,    -88.0184,     28.5733,     -3.97,     3.776e-008,F:\Fish_GM\10-07\FL11280195920.png,  71, 148,     0.034,     0.026,     1.277,     1.379
       20.028354,    -88.0239,     28.6781,     -6.36,     3.213e-008,F:\Fish_GM\10-07\FL11280200133.png,  73, 159,     0.037,     0.027,     1.376,     1.436
       20.028456,    -88.0239,     28.6781,    -14.73,     7.923e-009,F:\Fish_GM\10-07\FL11280200133.png,  73, 170,     0.049,     0.036,     1.354,     1.729
       20.128588,    -88.0047,     28.9559,     -7.20,     3.406e-008,F:\Fish_GM\10-07\FL11280200707.png,  78, 985,     0.044,     0.032,     1.396,     1.491
