time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number
20.664751,-87.5089,29.9356,18.0987,29.6208,29.5119,           -NaN,892,898,284,332,C:\raw data\GM11\10-07\FL11280203920.png,107
20.87742,-87.5112,29.3077,41.6984,16.0083,29.403,8.18E-08,1858,1872,91,198,C:\raw data\GM11\10-07\FL11280205133.png,118
20.877439,-87.5112,29.3077,59.5691,15.7905,29.403,8.73E-08,1857,1877,83,209,C:\raw data\GM11\10-07\FL11280205133.png,118
21.912111,-87.0436,30.1187,61.9448,14.0481,29.5119,2.06E-07,1609,1631,129,203,C:\raw data\GM11\10-07\FL11280215346.png,174
21.924777,-87.0587,30.1528,17.2795,19.1664,29.403,4.10E-07,985,991,174,247,C:\raw data\GM11\10-07\FL11280215453.png,175
21.929656,-87.0646,30.1654,37.439,6.3162,25.2648,1.28E-07,1509,1522,57,154,C:\raw data\GM11\10-07\FL11280215453.png,175
0.80282667,-87.0401,30.1159,51.1553,10.89,29.6208,4.79E-07,1141,1158,129,218,C:\raw data\GM11\10-07\FL11281004732.png,180
0.87323806,-87.0027,29.9138,34.8687,6.8607,27.3339,5.76E-08,748,760,74,132,C:\raw data\GM11\10-07\FL11281005159.png,184
0.87339528,-87.0027,29.913,26.1516,5.5539,29.403,4.18E-08,767,776,82,128,C:\raw data\GM11\10-07\FL11281005159.png,184
0.87349722,-87.0027,29.913,31.963,8.0586,29.0763,7.06E-08,777,788,76,130,C:\raw data\GM11\10-07\FL11281005159.png,184
0.95140806,-87.0025,29.685,17.5575,4.356,29.6208,5.46E-08,1194,1200,50,97,C:\raw data\GM11\10-07\FL11281005625.png,188
0.95071361,-87.0025,29.6866,14.6312,2.8314,29.403,3.76E-08,1120,1125,56,90,C:\raw data\GM11\10-07\FL11281005625.png,188
2.0940536,-87.7804,30.0026,28.4551,21.9978,29.7297,3.14E-07,608,617,168,283,C:\raw data\GM11\10-07\FL11281020519.png,250
2.0941369,-87.7804,30.0026,25.2934,25.5915,29.7297,2.65E-07,617,625,205,284,C:\raw data\GM11\10-07\FL11281020519.png,250
2.1331711,-87.92,30.0029,21.3043,0.8712,29.7297,4.80E-08,834,841,43,97,C:\raw data\GM11\10-07\FL11281020732.png,252
2.1638633,-88.0051,29.9666,14.7125,1.3068,29.8386,1.13E-07,150,155,52,76,C:\raw data\GM11\10-07\FL11281020945.png,254
2.2174147,-88.003,29.8073,11.9173,2.178,29.5119,1.73E-07,1934,1938,51,108,C:\raw data\GM11\10-07\FL11281021159.png,256
2.2187386,-88.0029,29.8041,26.2419,1.5246,29.5119,5.22E-08,75,84,51,101,C:\raw data\GM11\10-07\FL11281021305.png,257
2.2194983,-88.0029,29.8024,11.6631,2.7225,29.403,1.04E-07,159,163,54,94,C:\raw data\GM11\10-07\FL11281021305.png,257
2.2196275,-88.0029,29.8016,11.6631,1.8513,29.5119,4.78E-08,173,177,49,79,C:\raw data\GM11\10-07\FL11281021305.png,257
2.2770122,-88.0034,29.6323,29.1182,20.2554,24.3936,1.72E-07,368,378,187,255,C:\raw data\GM11\10-07\FL11281021625.png,260
