time, lon, lat, length, depth, penetration_depth, strength, shot1, shot2, top_sample, bot_sample, file, number
20.999262,-89.504,28.7798,12.1915,15.5727,29.1852,4.10E-07,1318,1322,170,199,C:\raw data\GM11\10-01\FL11274205913.png,81
21.117429,-89.5006,28.417,12.4722,12.7413,29.6208,6.07E-07,81,85,141,190,C:\raw data\GM11\10-01\FL11274210700.png,88
21.612984,-89.9996,28.598,13.3644,3.7026,27.6606,1.29E-07,1605,1610,63,113,C:\raw data\GM11\10-01\FL11274213553.png,114
21.613049,-89.9996,28.598,8.0186,5.6628,29.5119,1.05E-07,1613,1616,80,109,C:\raw data\GM11\10-01\FL11274213553.png,114
1.5892494,-89.4999,28.3115,28.8559,11.8701,29.6208,8.38E-07,627,638,60,187,C:\raw data\GM11\10-01\FL11275013500.png,160
1.6729561,-89.5,28.526,22.5406,6.6429,29.5119,2.76E-07,1669,1678,69,162,C:\raw data\GM11\10-01\FL11275013927.png,164
1.6732247,-89.5,28.526,10.018,10.9989,29.5119,9.05E-08,1700,1704,92,163,C:\raw data\GM11\10-01\FL11275013927.png,164
1.6732894,-89.5,28.5267,10.018,10.4544,29.5119,1.04E-07,1707,1711,98,177,C:\raw data\GM11\10-01\FL11275013927.png,164
1.6747803,-89.5,28.5303,17.5315,5.6628,29.5119,1.37E-07,1867,1874,67,158,C:\raw data\GM11\10-01\FL11275013927.png,164
1.9307981,-89.2516,28.9698,22.9758,-0.6534,13.1769,1.20E-08,753,761,37,93,C:\raw data\GM11\10-01\FL11275015525.png,177
3.0401683,-88.4988,29.4882,15.0094,12.1968,29.403,2.51E-06,575,581,125,196,C:\raw data\GM11\10-01\FL11275030205.png,237
3.3222028,-88.7417,30.0953,17.2376,1.9602,20.0376,2.52E-07,1037,1043,48,94,C:\raw data\GM11\10-01\FL11275031845.png,252
3.3231564,-88.7451,30.0967,8.6188,1.3068,19.3842,1.87E-07,1142,1145,48,82,C:\raw data\GM11\10-01\FL11275031845.png,252
