time, lon, lat, depth, strength, file, number, shot, depol, average, ratio, contrast
19.503994,-88.91,30.1445,-1.93,4.27E-07,F:\Fish_GM\10-01\FL11274192950.png,2,713,     0.092,     0.071,     1.294,     1.486
19.575341,-88.6846,30.0723,-5.4,1.38E-07,F:\Fish_GM\10-01\FL11274193417.png,6,419,     0.126,     0.084,     1.509,     1.652
19.595469,-88.6212,30.0509,-3.25,1.68E-07,F:\Fish_GM\10-01\FL11274193524.png,7,593,     0.076,     0.060,     1.267,     1.334
19.595608,-88.6212,30.0509,-2.77,1.73E-07,F:\Fish_GM\10-01\FL11274193524.png,7,608,     0.068,     0.053,     1.287,     1.385
19.595756,-88.6203,30.0506,-2.29,1.79E-07,F:\Fish_GM\10-01\FL11274193524.png,7,624,     0.057,     0.047,     1.208,     1.275
19.595821,-88.6203,30.0506,-3.97,1.22E-07,F:\Fish_GM\10-01\FL11274193524.png,7,631,     0.070,     0.058,     1.207,     1.295
19.596015,-88.6194,30.0503,-4.33,9.54E-08,F:\Fish_GM\10-01\FL11274193524.png,7,652,     0.067,     0.058,     1.161,     1.260
19.636966,-88.5083,29.9915,-3.37,1.33E-07,F:\Fish_GM\10-01\FL11274193737.png,9,1075,     0.066,     0.055,     1.192,     1.326
19.639447,-88.5078,29.9837,-5.88,1.16E-07,F:\Fish_GM\10-01\FL11274193737.png,9,1343,     0.113,     0.080,     1.408,     1.651
19.776252,-88.5005,29.5648,-2.77,1.05E-07,F:\Fish_GM\10-01\FL11274194630.png,17,119,     0.046,     0.032,     1.437,     1.388
19.835321,-88.5003,29.3834,-4.57,9.04E-08,F:\Fish_GM\10-01\FL11274194950.png,20,499,     0.063,     0.048,     1.299,     1.481
19.852515,-88.5003,29.3301,-5.16,8.52E-08,F:\Fish_GM\10-01\FL11274195057.png,21,356,     0.063,     0.049,     1.288,     1.463
19.852626,-88.5003,29.3301,-7.2,5.69E-08,F:\Fish_GM\10-01\FL11274195057.png,21,368,     0.065,     0.056,     1.174,     1.409
19.855987,-88.5002,29.3198,-4.92,8.36E-08,F:\Fish_GM\10-01\FL11274195057.png,21,731,     0.055,     0.049,     1.125,     1.302
19.855894,-88.5002,29.3198,-6.36,6.36E-08,F:\Fish_GM\10-01\FL11274195057.png,21,721,     0.066,     0.056,     1.188,     1.381
19.859496,-88.5001,29.3085,-4.09,9.51E-08,F:\Fish_GM\10-01\FL11274195057.png,21,1110,     0.057,     0.047,     1.210,     1.461
19.871587,-88.5002,29.2712,-6.72,6.77E-08,F:\Fish_GM\10-01\FL11274195204.png,22,416,     0.069,     0.055,     1.268,     1.496
19.871634,-88.5002,29.2703,-3.85,8.57E-08,F:\Fish_GM\10-01\FL11274195204.png,22,421,     0.052,     0.044,     1.160,     1.201
19.902576,-88.5007,29.1755,-9.11,5.70E-08,F:\Fish_GM\10-01\FL11274195310.png,23,1763,     0.081,     0.064,     1.272,     1.494
19.938064,-88.5004,29.0655,-3.49,1.84E-07,F:\Fish_GM\10-01\FL11274195524.png,25,1596,     0.089,     0.054,     1.656,     1.932
19.939045,-88.5004,29.0629,-3.49,1.16E-07,F:\Fish_GM\10-01\FL11274195524.png,25,1702,     0.055,     0.050,     1.097,     1.350
19.959405,-88.5004,29.0001,-2.05,1.32E-07,F:\Fish_GM\10-01\FL11274195630.png,26,1901,     0.043,     0.032,     1.365,     1.341
19.95946,-88.5004,29.0001,-1.7,1.36E-07,F:\Fish_GM\10-01\FL11274195630.png,26,1907,     0.044,     0.027,     1.654,     1.312
19.959451,-88.5004,29.0001,-4.09,8.77E-08,F:\Fish_GM\10-01\FL11274195630.png,26,1906,     0.053,     0.046,     1.161,     1.364
19.959562,-88.5004,29.0001,-4.92,7.63E-08,F:\Fish_GM\10-01\FL11274195630.png,26,1918,     0.061,     0.051,     1.199,     1.245
19.960238,-88.5004,28.9976,-3.61,1.02E-07,F:\Fish_GM\10-01\FL11274195630.png,26,1991,     0.050,     0.041,     1.222,     1.352
19.955359,-88.5003,29.0128,-5.52,7.27E-08,F:\Fish_GM\10-01\FL11274195630.png,26,1464,     0.058,     0.051,     1.148,     1.375
19.955424,-88.5003,29.0128,-4.8,8.82E-08,F:\Fish_GM\10-01\FL11274195630.png,26,1471,     0.068,     0.052,     1.300,     1.453
19.969487,-88.5006,28.9699,-3.97,2.76E-07,F:\Fish_GM\10-01\FL11274195737.png,27,990,     0.163,     0.059,     2.779,     2.808
20.021919,-88.5,28.8115,-2.65,9.18E-08,F:\Fish_GM\10-01\FL11274200057.png,30,653,     0.042,     0.033,     1.278,     1.374
20.060175,-88.5002,28.6927,-3.49,8.52E-08,F:\Fish_GM\10-01\FL11274200310.png,32,785,     0.044,     0.030,     1.476,     1.493
20.062934,-88.5002,28.6841,-8.51,3.70E-08,F:\Fish_GM\10-01\FL11274200310.png,32,1083,     0.048,     0.037,     1.304,     1.458
20.062888,-88.5002,28.6849,-11.02,2.05E-08,F:\Fish_GM\10-01\FL11274200310.png,32,1078,     0.043,     0.036,     1.191,     1.279
20.062268,-88.5002,28.6875,-8.27,3.87E-08,F:\Fish_GM\10-01\FL11274200310.png,32,1011,     0.046,     0.037,     1.245,     1.398
20.062499,-88.5002,28.6866,-10.18,2.13E-08,F:\Fish_GM\10-01\FL11274200310.png,32,1036,     0.040,     0.035,     1.153,     1.242
20.065786,-88.5002,28.6756,-7.43,5.05E-08,F:\Fish_GM\10-01\FL11274200310.png,32,1391,     0.048,     0.036,     1.316,     1.663
20.11506,-88.5008,28.527,-11.62,1.89E-08,F:\Fish_GM\10-01\FL11274200630.png,35,713,     0.044,     0.035,     1.256,     1.419
20.115097,-88.5008,28.527,-10.9,1.94E-08,F:\Fish_GM\10-01\FL11274200630.png,35,717,     0.041,     0.032,     1.266,     1.336
20.131151,-88.5005,28.4783,-9.83,2.49E-08,F:\Fish_GM\10-01\FL11274200737.png,36,451,     0.047,     0.031,     1.480,     1.440
20.131188,-88.5005,28.4783,-12.82,1.31E-08,F:\Fish_GM\10-01\FL11274200737.png,36,455,     0.043,     0.037,     1.158,     1.428
20.133299,-88.5005,28.4715,-10.78,2.03E-08,F:\Fish_GM\10-01\FL11274200737.png,36,683,     0.037,     0.030,     1.235,     1.385
20.133419,-88.5005,28.4715,-9.59,2.98E-08,F:\Fish_GM\10-01\FL11274200737.png,36,696,     0.043,     0.034,     1.263,     1.645
20.135975,-88.5005,28.4631,-4.68,4.67E-08,F:\Fish_GM\10-01\FL11274200737.png,36,972,     0.041,     0.030,     1.362,     1.323
20.138086,-88.5005,28.4573,-8.99,2.63E-08,F:\Fish_GM\10-01\FL11274200737.png,36,1200,     0.039,     0.031,     1.251,     1.487
20.177287,-88.5002,28.3385,-10.54,2.73E-08,F:\Fish_GM\10-01\FL11274200950.png,38,1434,     0.046,     0.033,     1.418,     1.894
20.179684,-88.5001,28.3311,-9.95,2.54E-08,F:\Fish_GM\10-01\FL11274200950.png,38,1693,     0.045,     0.033,     1.394,     1.407
20.179703,-88.5001,28.3311,-7.91,2.96E-08,F:\Fish_GM\10-01\FL11274200950.png,38,1695,     0.039,     0.033,     1.202,     1.262
20.170444,-88.5004,28.3596,-11.98,2.18E-08,F:\Fish_GM\10-01\FL11274200950.png,38,695,     0.052,     0.039,     1.337,     1.622
20.170537,-88.5004,28.3588,-7.55,3.95E-08,F:\Fish_GM\10-01\FL11274200950.png,38,705,     0.045,     0.035,     1.304,     1.631
20.219071,-88.5004,28.2104,-12.1,3.61E-08,F:\Fish_GM\10-01\FL11274201204.png,40,1947,     0.106,     0.048,     2.218,     2.428
20.240337,-88.5008,28.1466,-9.23,6.35E-08,F:\Fish_GM\10-01\FL11274201417.png,42,244,     0.112,     0.045,     2.496,     2.643
20.333719,-88.6589,28.0016,-3.37,6.50E-08,F:\Fish_GM\10-01\FL11274201950.png,47,330,     0.036,     0.027,     1.339,     1.456
20.357662,-88.7382,27.9975,-8.75,3.15E-08,F:\Fish_GM\10-01\FL11274202057.png,48,916,     0.042,     0.032,     1.315,     1.495
20.358023,-88.7391,27.9975,-7.67,3.01E-08,F:\Fish_GM\10-01\FL11274202057.png,48,955,     0.038,     0.032,     1.172,     1.286
20.358116,-88.7401,27.9974,-10.3,1.99E-08,F:\Fish_GM\10-01\FL11274202057.png,48,965,     0.032,     0.030,     1.067,     1.332
20.358218,-88.7401,27.9974,-9.11,3.42E-08,F:\Fish_GM\10-01\FL11274202057.png,48,976,     0.043,     0.032,     1.348,     1.709
20.363819,-88.7586,27.997,-10.42,2.43E-08,F:\Fish_GM\10-01\FL11274202057.png,48,1581,     0.039,     0.032,     1.224,     1.620
20.363986,-88.7595,27.997,-9.47,2.82E-08,F:\Fish_GM\10-01\FL11274202057.png,48,1599,     0.045,     0.032,     1.411,     1.415
20.364809,-88.7623,27.997,-9.35,2.65E-08,F:\Fish_GM\10-01\FL11274202057.png,48,1688,     0.043,     0.032,     1.351,     1.460
